"Chol Marial","San Jose St.",MWC,27,18.7,75.6,14.3,40.2,43.17,5.7,21.4,2.3,28.7,6,8,0.75,14,33,0.424,3,13,0.231,12.7,0.7,17.4,Sr,7-2,15,-0.588124,71.1457,5.6,2025,70531,"Rumbek, South Sudan",64.4,0.22227408,4,7,10,26,0.5714,0.3846,1,1,1.0000,,102.023,100.409,0.990125,55.086,-2.30808,-7.62203,5.31396,-3.54848,9.1893,-6.00836,2.45988,0.4643,1.7500,2.2143,0.1429,0.1071,1.1071,1.6071,C,3.12404
"Keaston Willis",Tulsa,Amer,31,73,115.5,19.9,52.7,57.95,1.5,10.3,8.3,9.1,96,118,0.814,30,66,0.455,84,230,0.365,0.3,1.4,39.9,Sr,6-3,0,2.45877,114.059,2,2025,70544,"Sulphur Springs, TX",,1.29996701,22,39,8,27,0.5641,0.2963,0,0,,,111.44,111.811,2.02212,133.911,0.60709,2.35879,-1.7517,1.468,29.5394,2.56228,-1.09428,0.3636,2.8788,3.2424,1.1818,0.8182,0.0909,13.3030,"Combo G",14.7741
"Jarred Hyder","Cal Poly",BW,32,76.4,103.1,22.1,51.4,53.63,1.8,9.6,17.1,18.4,50,63,0.794,62,128,0.484,95,270,0.352,0,2.1,15.8,Sr,6-3,0,1.86128,106.309,1.9,2025,70594,"San Bernardino, CA",11.8,1.26502863,53,94,9,34,0.5638,0.2647,0,0,,,112.429,113.852,2.01854,178.12,-1.03667,1.15856,-2.19523,-1.29403,32.8545,0.587462,-1.88149,0.5758,2.8788,3.4545,3.1818,1.2424,0.0000,14.4848,"Combo G",13.6875
"Festus Ndumanya","Cal St. Northridge",BW,24,11.2,92.4,22.7,41.7,46.09,11.2,12.3,5.1,19.1,13,20,0.65,20,48,0.417,0,0,0,2.1,1.6,41.7,Sr,6-7,6,0.0671196,93.1315,9.8,2025,70600,"Anambra, Nigeria",,0.36350744,13,33,7,15,0.3939,0.4667,0,0,,,104.009,106.376,0.508615,26.047,-7.0935,-4.93606,-2.15743,-7.43102,5.8385,-6.36505,-1.06598,0.5385,0.6154,1.1538,0.1538,0.1538,0.0769,2.2692,PF/C,0
"Brandton Chatfield","Iowa St.",B12,35,35.5,129.3,13.2,61.8,63.72,15.1,11.6,3.4,13.9,24,34,0.706,55,87,0.632,0,2,0,4.3,1,38.2,Sr,6-10,33,1.66571,123.544,5.7,2025,70611,"Orofino, ID",,0.62502733,50,72,5,15,0.6944,0.3333,14,16,0.8750,,100.911,94.8355,1.82253,85.0439,5.73253,2.98511,2.74741,2.87599,14.4200,0.994829,1.88116,1.7143,1.4286,3.1429,0.2857,0.2571,0.5143,3.8286,C,0.229272
"Ryan Rapp",Hawaii,BW,27,58.9,100.7,17.9,47.4,51.71,4.3,15.5,11.7,18.9,42,55,0.764,47,91,0.516,24,84,0.286,0.9,1.3,31.4,Sr,6-5,22,0.683669,97.5737,2.7,2025,70617,"Melbourne, Australia",,1.00000000,28,45,19,46,0.6222,0.4130,0,0,,,106.771,107.703,2.11177,117.65,-0.405759,-0.883848,0.478089,-0.137286,25.6321,-0.534943,0.397657,0.8214,3.2500,4.0714,1.3929,0.6071,0.2143,7.8571,"Wing G",7.31244
"Noah Williams","James Madison",SB,28,25.9,90.1,17.9,37.5,42.34,7.3,14.2,4.2,16.4,19,28,0.679,21,57,0.368,6,23,0.261,1.7,2,35,Sr,6-5,13,-0.11795,86.7171,6,2025,70618,"Seattle, WA",39.4,0.64707959,15,28,6,29,0.5357,0.2069,0,0,,,108.237,109.982,0.839635,52.7971,-5.39209,-3.99347,-1.39862,-6.74982,11.1200,-5.39874,-1.35108,0.6667,1.3000,1.9667,0.3667,0.3667,0.1667,2.7667,"Wing F",4.5207
"Tylan Pope","Texas St.",SB,30,64.3,118.9,28.6,55.9,61.7,10.2,18.1,5.1,14,139,172,0.808,165,297,0.556,13,33,0.394,6.4,1.4,52.1,Sr,6-6,9,3.65252,130.714,5.1,2025,70619,"Franklinton, LA",0.4,0.32726322,128,205,37,92,0.6244,0.4022,24,25,0.9600,,106.208,109.066,2.02664,150.101,0.187892,1.37955,-1.19165,3.19285,25.6250,4.13876,-0.945908,2.3438,4.0938,6.4375,0.5625,0.6562,1.4062,16.4062,PF/C,2.50206
"Chase Hunter",Clemson,ACC,34,81.9,118.5,23.4,56.7,61.2,1.9,8.8,14.8,16,110,127,0.866,110,209,0.526,77,189,0.407,1.6,2.6,31.9,Sr,6-3,1,4.30017,127.614,2.2,2025,70626,"Atlanta, GA",74.8,1.23189113,60,93,50,116,0.6452,0.4310,12,13,0.9231,,100.718,96.5229,4.00709,189.616,6.12369,4.08119,2.0425,7.30477,33.4765,4.88816,2.41661,0.5294,2.5000,3.0294,2.5000,1.4118,0.4706,16.5000,"Combo G",10.2561
"Ken Evans Jr.","Florida Atlantic",Amer,33,66.2,95.1,13.9,41.2,44.47,2.2,8.8,10.8,16.4,30,40,0.75,29,80,0.362,35,118,0.297,0.3,2.1,20.2,Sr,6-5,0,-0.175188,87.8733,2.9,2025,70635,"Jackson, MS",,1.85719841,21,59,9,26,0.3559,0.3462,0,0,,,111.067,109.73,2.02674,141.135,-0.513036,-0.282129,-0.230907,-2.86448,26.5647,-2.82579,-0.0386903,0.5588,2.1471,2.7059,1.9118,1.0882,0.0882,6.2059,"Combo G",7.66575
"John Buggs III","East Tennessee St.",SC,24,60.7,123.9,16,56.7,58.05,1.4,7.9,8.8,8.4,23,31,0.742,29,66,0.439,65,157,0.414,0.5,1.3,13.9,Sr,6-2,7,2.49664,113.489,3,2025,70648,"Homer, LA",,2.18752024,9,20,20,46,0.4500,0.4348,0,0,,,108.689,110.074,2.28551,97.4695,-0.648242,1.30425,-1.95249,0.0420013,29.5192,1.06454,-1.02254,0.3462,1.9231,2.2692,1.3462,0.6538,0.1154,11.1154,"Combo G",13.1829
"Khalif Battle",Gonzaga,WCC,35,66.4,115.9,21.7,52.7,59.87,1.7,13.3,8.8,14.3,123,132,0.932,89,167,0.533,58,167,0.347,0.4,2.4,39.5,Sr,6-5,99,3.03429,122.711,3.3,2025,70649,"Hillside, NJ",80.2,1.01962801,70,118,19,49,0.5932,0.3878,16,20,0.8000,,99.1272,94.9009,3.39788,178.403,5.60385,3.78261,1.82124,5.1669,26.8371,2.79566,2.37125,0.3714,3.2857,3.6571,1.4857,1.1429,0.0857,13.5714,"Wing G",10.1266
